Animalia  | null | Animalia.jpg  | null | Graeme Base  | Australia  | English   | null | [[Picture books]]  | null | Print hardcover  | 32  | 0-810-91868-4  | null | null
Animal Farm  | null | AnimalFarm 1stEd.jpg  | First edition cover  | George Orwell  | United Kingdom  | English   | null | Political [[satire]]  | 17 August 1945 Secker and Warburg, London, England  | Print hardback  paperback  | 112 UK paperback edition !-- First edition page count preferred --  | ISBN 0-452-28424-4 present ISBN 978-0-452-28424-1 !-- First released before ISBN system implemented --  | null | null
A Modest Proposal  | null | File:A Modest Proposal 1729 Cover.jpg | null | Jonathan Swift  | null | English   | null | [[Satire | null | null | 219 | null | null | null
A Clockwork Orange  | null | Clockwork orange.jpg  | Dust jacket from the first edition  | Anthony Burgess  | United Kingdom  | EnglishNadsat   | null | [[Science fiction]], [[Novella]], [[Satire]], [[Dystopian fiction]]  | 1962 Heinemann book publisher | Print hardback  paperback  audio book Compact audio cassette | 192 pages hardback edition  br 176 pages paperback edition  | 0-434-09800-0  | null | null
A Fire Upon the Deep  | null | A Fire Upon the Deep.bookcover.jpg  | null | Vernor Vinge  | United States  | English   | !-- Subject is not relevant for fiction --  | [[Hard science fiction]]<!-- [[Wikipedia:WikiProject Novels/Novel categorization]] -->  | null | Print hardcover and paperback  | 391 pp !-- First edition hardcover page count --  | ISBN 0-312-85182-0 !-- First edition hardcover --  | A Deepness in the Sky  A Fire Upon the Deep is a science fiction novel by American writer Vernor Vinge, a space opera involving superhuman intelligences, Extraterrestrial life | null
Asterix  | null | File:Asterix - Cast.png | null | plainlist | France  | French   | null | plainlist | null | null | null | null | null | null
All Quiet on the Western Front  | Arthur Wesley Wheen | Remarque Im Westen nichts Neues 1929.jpg  | 1st edition cover  | Erich Maria Remarque  | Germany  | German   | null | [[War novel]]  | null | Print Hardcover | 295  | null | null | null
Sid Meiers Alpha Centauri  | null | null | null | Michael Ely  | United States  | English languageEnglish  | null | [[Science fiction]]  | null | Print Paperback  | null | null | null | null
A Wizard of Earthsea  | null | Image:AWizardOfEarthsea1stEd.jpg | Robbins cover of first editionref nameisfdb  | Ursula K. Le Guin  | United States  | English   | null | [[Fantasy novel]], [[Bildungsroman]]  | 1968 Parnassus Press  | Print hardcover  paperback  | 205 pp first editionref nameisfdb isfdb title  | 0-395-27653-5 !-- ISBNs can be assigned after publication. Nevertheless, this is uncertain. See Talk: EarthseaISBN. --  | The Tombs of Atuan  A Wizard of Earthsea is a fantasy novel by the United States | The Rule of Names short story 
Aint I a Woman?  | null | Aint I a Woman? front cover.gif  | null | bell hooks  | null |   | Black feminism  | null | null | null | null | ISBN 0-89608-129-X  |  Aint I a Woman?: Black women and feminism is a 1981 book by bell hooks titled after Sojourner Truths  | null
Blade Runner 3:brReplicant Night  | null | !--prefer 1st edition--  | null | K. W. Jeter  | United States  | English languageEnglish   | null | [[Science fiction novel]]  | null | Print Hardcover, Paperback  | 321 pp  | 0-553-09983-3  | Blade Runner 4: Eye and Talon | Blade Runner 2: The Edge of Human
Blade Runner 2:brThe Edge of Human  | null | !--prefer 1st edition--  | null | K. W. Jeter  | United States  | English   | null | [[Science fiction novel]]  | null | Print Hardcover, Paperback  | 340 pp  | 0-553-09979-5  | Blade Runner 3: Replicant Night | Do Androids Dream of Electric Sheep? 
The World Factbook  | null | Image:Wfbcover.jpg | Cover of the latest government print edition of The World Factbook 2013 | Central Intelligence Agency  | USA  | English languageEnglish   | null | [[Almanac]] about the countries of the [[world]]  | null | null | null | null |  The World Factbook International Standard Serial Number | null
Crash  | null | Crash1stEd.jpg  | Cover of first edition hardcover  | J. G. Ballard  | United Kingdom  | English   | null | [[Postmodern novel]], [[Transgressive fiction]]  | null | Print Hardcover  Paperback  | null | 0-224-00782-3  | Concrete Island  Crash is a novel by English author J. G. Ballard, first published in 1973. It is a story about symphorophilia or Traffic collision | The Atrocity Exhibition 
Children of Dune  | null | FrankHerbert ChildrenOfDune 1st.jpg  | US first edition cover  | Frank Herbert  | United States  | English languageEnglish   | null | [[Science fiction novel]]  | 1976 G. P. Putnams Sons | Print Hardcover | null | 0-399-11697-4  | God Emperor of Dune  Children of Dune is a 1976 science fiction novel by Frank Herbert, third in a series of six novels set in his Dune universe | Dune Messiah 
Candide  | null | File:Candide1759.jpg  | The Book frontispiece | Voltaire  | France  | French   | null | [[Conte philosophique]]; [[satire]]; [[picaresque novel]]; [[bildungsroman]]  | null | null | 203 | 0-691-06287-0   Cite journal  | null | null
Chapterhouse: Dune  | null | FrankHerbert ChapterhouseDune 1st.jpg  | US 1st edition cover  | Frank Herbert  | United States  | English languageEnglish   | null | [[Science fiction novel]]  | 1985 G. P. Putnams Sons  | Print Hardcover | 464 pp  | 0-399-13027-6  | Hunters of Dune  Chapterhouse: Dune is a 1985 science fiction novel by Frank Herbert, last in his series of six Dune franchise | Heretics of Dune 
Carmilla  | null | null | null | Sheridan Le Fanu  | Ireland  | English   | null | [[Gothic novel | null | null | null | null |  Carmilla is a Gothic novella by Sheridan Le Fanu | null
Dracula  | null | Dracula1st.jpeg  | The cover of the first edition  | Bram Stoker  | United Kingdom  | English   | null | [[Horror fiction | null | null | null | 973-577-197-7ref File:Vlad Tepes 002.jpg | null | null
Don Quixote  | null | El ingenioso hidalgo don Quijote de la Mancha.jpg  | Title page of first edition 1605  | Miguel de Cervantes  | Crown of Castile | Old Spanish languageOld Spanish Old Castilian   | null | [[Picaresque novel | null | Print  | null | null | null | null
Dune Messiah  | null | Dune Messiah cover.jpg  | First edition dust jacket  | Frank Herbert  | United States  | English languageEnglish   | null | [[Science fiction novel]]  | 1969 Putnam Publishing  | Print Hardcover | 256  | null | Children of Dune  Dune Messiah is a science fiction novel by Frank Herbert, the second in a series of six novels. It was originally serialized in Galaxy Science Fiction | Dune novel
Darwins Dangerous Idea  | null | File:Darwins Dangerous Idea.jpg | Jacket painting by Henri Rousseau :Image:Henri Rousseau 011.jpg | Daniel Dennett | null |   | Evolution, ethics  | null | 1995 Simon  Schuster  | Print  | 586  | 0-684-82471-X  | null | null
Dying Earth  | null | File:Compleat dying earth.jpg | null | Jack Vance  | United States  | English languageEnglish   | null | [[Fantasy]], [[Dying Earth subgenre | null | Print  | null | null | null | null
The Time in Between  | null | Image:The Time In Between cover.png | null | David Bergen  | Canada  | English languageEnglish   | null | [[Novel]]  | null | null | 288 pp McClelland  Stewart, 256 pp Random House  | ISBN 978-0-7710-1178-8 McClelland  Stewartbr ISBN 978-1-4000-6240-9  |  The Time in Between is a novel by Canada | null
